skill_name,processing_ids
"english","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,00fc95ad-51ba-4199-a67a-92978a72580e,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"teamworking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"communication","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,a601f184-fbf5-47c9-a93b-0e7d92573478,00fc95ad-51ba-4199-a67a-92978a72580e"
"time management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,53da82e3-bf1c-4e3f-8c77-b07f78376b32,a601f184-fbf5-47c9-a93b-0e7d92573478"
"problem-solving","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478"
"networking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,00fc95ad-51ba-4199-a67a-92978a72580e,a601f184-fbf5-47c9-a93b-0e7d92573478,e8f63296-59d9-426e-8e05-3bd0a68a43d2,2543224d-b378-43c9-9f6f-ab8850b6c051"
"data analysis","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"data management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,9982770f-129b-4022-909b-74fa857258a7"
"bioinformatics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"biomedical sciences","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"molecular biology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"mathematics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"statistics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"computational pipelines","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"coding","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"biological interpretation","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"drug discovery process","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"transcriptomics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"proteomics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"integration of multi-omics datasets","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"biomarker discovery","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b"
"r","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"python","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"data visualisation","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,9982770f-129b-4022-909b-74fa857258a7,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"collaboration","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,545862a0-d9bd-4007-aac8-3cf618c7815b,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"presentation skills","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"data science","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"rna-seq","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"collaboration with wet-lab scientists","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"chemistry","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"engineering","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2d365c52-d15d-4c9c-bc75-156a960f8bf2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"biology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2543224d-b378-43c9-9f6f-ab8850b6c051"
"physiology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"modelling","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"risk assessment","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"computational approaches","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"project decision-making","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,545862a0-d9bd-4007-aac8-3cf618c7815b"
"toxicogenomics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2543224d-b378-43c9-9f6f-ab8850b6c051"
"internal collaboration","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,545862a0-d9bd-4007-aac8-3cf618c7815b,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"project management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478"
"drug development","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"life sciences","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"english fluency","e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,9982770f-129b-4022-909b-74fa857258a7,b00cb8b0-fb0f-447c-b95b-9cc198e861b0"
"lean methodologies","e8f63296-59d9-426e-8e05-3bd0a68a43d2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"6-sigma methodologies","e8f63296-59d9-426e-8e05-3bd0a68a43d2,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e"
"continuous improvement","e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2,9982770f-129b-4022-909b-74fa857258a7"
