skill_name,processing_ids
"english","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,00fc95ad-51ba-4199-a67a-92978a72580e,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,b00cb8b0-fb0f-447c-b95b-9cc198e861b0"
"teamworking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"communication","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,a601f184-fbf5-47c9-a93b-0e7d92573478,00fc95ad-51ba-4199-a67a-92978a72580e"
"time management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,53da82e3-bf1c-4e3f-8c77-b07f78376b32,a601f184-fbf5-47c9-a93b-0e7d92573478"
"problem-solving","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478"
"networking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,00fc95ad-51ba-4199-a67a-92978a72580e,a601f184-fbf5-47c9-a93b-0e7d92573478,e8f63296-59d9-426e-8e05-3bd0a68a43d2,2543224d-b378-43c9-9f6f-ab8850b6c051"
"data analysis","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"data management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,9982770f-129b-4022-909b-74fa857258a7"
"computational biology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"biomedical sciences","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"molecular biology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"human genetics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"mathematics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"statistics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"hands-on experience","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,2543224d-b378-43c9-9f6f-ab8850b6c051,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,a601f184-fbf5-47c9-a93b-0e7d92573478"
"real-world datasets","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"computational pipelines","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,2543224d-b378-43c9-9f6f-ab8850b6c051,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"coding","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"biological interpretation","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"drug discovery process","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb"
