skill_name,processing_ids
"english","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,00fc95ad-51ba-4199-a67a-92978a72580e,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,296af4b5-05c9-4ede-9a39-0b6f3eff1694,f6da134f-f8d6-4979-969f-7765af90c828,afdb63c8-05f8-4b75-9824-2e2ae43e0a34,b96c46d0-bec4-49ef-a334-5e3d67a7f6cc,86b67ee5-1919-4d91-9656-fe04392b7b2f,12e6a17c-05af-4cf5-a041-53531ca7709c,f149e1db-48ca-4864-a861-9ffaa1d0a1ce,87b8e0a5-e197-490a-af98-df4447c7de75,6b636fbf-6577-4cf5-babb-32344491dc22,df03870c-fa85-4621-bca8-1658a5b25947,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c48450d7-b920-4e92-8e6c-6b67e6bf1d0c,dd4e70e0-94f4-48a0-8a7f-5d566c756829,6e5f19b1-f5e1-460e-aa41-3f25ed9001fe,2769e890-bb22-4838-ac9b-408414b4a728,bdb6767b-62ce-4a4a-8bf7-b1c889680c69,524861e1-2857-4308-9141-6a64210e16af,26922950-9eb5-4b83-a148-996c262c9346,35936597-a2e9-4462-97bc-b9d84d82f820,d6ec14ff-d3f1-4fdf-8416-7506d84943ef,747ab684-b3a5-45a6-bfbf-b7cf720e43cb,5bed7f74-5210-4f19-8257-9eaaf1899e28"
"teamworking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,0a49e0a6-5043-4b38-90e4-99a47405b5a8,36e13e4c-4a3c-4129-938b-981934d50956,4a3b509c-9e5e-45ef-8d1c-689053f0e74a,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2d365c52-d15d-4c9c-bc75-156a960f8bf2,0a1bb06c-280b-4de6-a9cf-0931d4a5bcf5,545862a0-d9bd-4007-aac8-3cf618c7815b,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,5e47a612-4136-4c04-88e8-4367c286b067,398334ad-a1b7-42e8-aa06-a31dbd9faaeb,7755eafd-c63e-496d-ae13-edfa2ba853b0"
"communication","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,a601f184-fbf5-47c9-a93b-0e7d92573478,00fc95ad-51ba-4199-a67a-92978a72580e,e8f63296-59d9-426e-8e05-3bd0a68a43d2,82cbb04d-cc8a-4d5d-a75d-f386ff9afb57,6944f487-b1c6-446d-9278-6c59343d82c9,1f6563f1-5f76-46f0-8288-678a984a328a,35f440e5-037c-4572-98d6-21e363ebf81f,f1bbea40-8f28-4b6d-bd23-3ec73ca6028c,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,83bc586a-afac-454b-952d-482e72aa873f,35936597-a2e9-4462-97bc-b9d84d82f820,f7318d24-d647-45d5-99e2-43984e7f938a,f3ca95f6-47c3-418c-85b3-a46e5eac8c44,eacb0522-c875-4299-8b0e-b808c69d67a6,2543224d-b378-43c9-9f6f-ab8850b6c051,19a5c99f-8515-4c6a-8f7c-5299949de1f8,0ab78c30-c014-4fd1-acf8-93296e506580,a34c3f20-c7cb-475c-87b1-6460e4995846,2eea3d6e-5dc9-4817-ba30-c6c30c031cbd,996488ea-b478-41fb-84db-9532c2584c02,db0cae5a-57b6-46b8-bb8e-68bd2694110c,3e161581-3644-4dbb-a704-949099696106,cd951cc7-256c-47d2-bd55-c7994c8d438a,1f70f062-cff0-4952-bf56-8816280534c4,a38f6ba0-31a0-4363-b603-76c35fce3ce0,c779c95b-dead-463b-8867-376142ff7747,9eef761b-1073-4975-b377-eab1dd268bc2,62e7c631-1d57-4c18-8e1f-c7f9d04bf2a9,e3a47f04-fdec-4eb1-820d-a927dd0b2389,476d74fa-e8c8-4073-815d-a9cda6ffe569,04cbd5de-f4b9-4aaa-a2eb-89cc1960e381,d84635f5-e3ea-43d0-be4b-1094cbed34ae,3e70a911-bdd7-41c9-b51c-422a8b82ecbd,6e5f19b1-f5e1-460e-aa41-3f25ed9001fe,0f1750a7-cbbe-4071-8b00-2a0a7e295e1e,5d28de48-55aa-40ae-89ab-22d5d1256ec2,621fa7b3-2e7f-4185-b05b-921ad7170ae0,01b3a7c1-911d-4931-925a-6a72184f2fa9,2486420f-e0be-489c-b3b0-8037585cef59,9be66a02-8e76-4492-8c3f-92e62280a586,375acc9c-3421-47cd-9273-954e36b153e7,732c01da-c5fc-4895-88dd-f826cbdb611e,bd0f4792-8e93-482e-87da-f44c932d2f7d,35a98fd5-fdee-460f-901b-6444c81e47e8,0bf472ee-ed53-4efb-a0e0-3ac0430fa466,feb09067-68f8-4d3e-a6b6-16c63fb07d4e,e89cb7ad-cbc8-4cb4-8bb6-630a1179f659,76248f6a-9878-4936-a17a-98d6b1481a5b"
"time management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a6fa41b3-1c44-446c-8b5f-23a382f24ac2,82bb40fc-dcd8-4e0e-a1b5-624894b3fb06,1b64b2a0-4dc6-421e-96d6-640b358b52cc,95384ed4-fbe4-48c8-90fb-44c27c4267b4,545862a0-d9bd-4007-aac8-3cf618c7815b,324032e1-a84c-437a-bb03-85a4dc376eca,46147b10-7145-4cbe-b469-a480296fbba2,a26bc3f7-fa5b-40fe-a1b8-198007feb52c,f4e45c58-ea70-4014-9cf5-f54dfd3bbe77,1e872d55-2437-401d-b5e3-b5d786fbaf73,996488ea-b478-41fb-84db-9532c2584c02,b311b39e-9423-4415-8ac2-da28eed5b60c,0e2800fb-e0bd-41ac-b1a4-d837e1b5f6e9,a2312017-ccbe-4824-8006-8eb40acf7190,bb92762d-a229-4e30-919b-2785ccde7e8c,286fc4fc-c356-4158-8abf-c8d41b2a4036,17bdd675-3904-440c-aa7c-3152d82caa01,11899890-350c-4581-b1ba-cde0f50db634,f3004c42-5c66-4c31-bb68-193849982235,eb6125b0-d733-45d1-b81e-87d7abe736b6,db697a8d-3143-4603-9c72-a599aff54195,e89cb7ad-cbc8-4cb4-8bb6-630a1179f659,4bfd46b8-6098-4b51-9cb7-a19cb48c20bb,5133bbcd-53c9-40aa-9cab-cb235879c21f,95d5438c-6089-4b12-bf18-e2efeb43e419,2b26dedf-5255-4180-b54f-8bc1ce0a30ad,35936597-a2e9-4462-97bc-b9d84d82f820,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,7dad9fba-34ba-47c6-9e1c-77d6782d2027,7781141b-b76a-45e4-a278-8e374d2d5571"
"problem-solving","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,880895cf-8587-4f36-8c7a-581def67d66e,ea17b286-08f4-468d-9532-8f94a0ad7ab8,f4e45c58-ea70-4014-9cf5-f54dfd3bbe77,4616652d-fa52-47c3-8ecc-17c7d21235b5,58631445-15c2-440b-9db5-55d9f670cc09,2543224d-b378-43c9-9f6f-ab8850b6c051,a3d47b64-05a0-4089-bd88-d4641fb2e663,e7974c99-a70c-47a2-9e18-c2c7e473eddb,f488850c-3b43-490f-8466-e982522a2ca1,cd291ced-12c5-4ea9-98b9-8c69a229fae4,e9f6a4ba-956d-4486-a051-9fd8e98bb556,19a5c99f-8515-4c6a-8f7c-5299949de1f8,5bb21820-a9ef-4bc7-9089-0d1010c769fa,2486420f-e0be-489c-b3b0-8037585cef59,01faf145-1c7f-4e64-b5a3-287cad0c63e4,46d5f581-c2aa-4fec-861c-632d25764463,4b9d78fb-196d-4720-899d-70efa337cfe6,65a2b680-1f95-43bf-9756-e0caf618c08c,c45b1009-8d8b-4da5-ba62-8694558f8aea,b6a7d257-4ba9-44a2-b6cf-68b206939511,e9329b2d-5775-4e51-91e2-54039cd4be3d,ce4b23c0-4ea6-4988-b3a7-6b37eb64f4f4"
"networking","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,00fc95ad-51ba-4199-a67a-92978a72580e,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,a2ce2fdb-fab4-4bec-b85d-c24932424143,e8f63296-59d9-426e-8e05-3bd0a68a43d2,82bb40fc-dcd8-4e0e-a1b5-624894b3fb06,5d28de48-55aa-40ae-89ab-22d5d1256ec2,7feda9b7-9737-407e-afd8-9c3ca4af23f7,5aa83c49-2762-4771-b331-45f07b7e3e2c,134a6015-f2f7-4c93-bd61-4d40fba21d86,2543224d-b378-43c9-9f6f-ab8850b6c051,e49af08b-5e0b-4091-80f4-0600c86ae7a3,dd12767b-415d-41bf-9eb3-52fa5ac1f33e,d37cfaa2-1a1d-4b4b-b9b2-0aab3038c59c,9bad4775-59bb-48fd-b74c-2604fce8f90d,f3b762d7-54f6-4221-b2a7-b85ae0d11a34,92df7e37-325b-4f13-b406-96605a1b5ee1,016866e2-6b03-4b0e-9ff8-cf353cb03edc,a6313be0-7ca7-443a-863a-923340393a34,d84635f5-e3ea-43d0-be4b-1094cbed34ae,70edecda-f271-45c2-a0bb-74234f8bbf85,db697a8d-3143-4603-9c72-a599aff54195,f065021a-01b8-4c6f-890b-4b6dc261ea78,5ea21701-9936-4c34-be1b-acc5f387f82c,2eea3d6e-5dc9-4817-ba30-c6c30c031cbd,5b0e43b2-1d31-413d-855f-d23484b15ab2,e9527b69-0dbc-4d4f-8095-380ff084b171,79f93c09-df7f-4144-a124-6f7210332a99,a26bc3f7-fa5b-40fe-a1b8-198007feb52c,b77d9126-1c28-421f-b503-9afd3d5062d5,4f7ac42a-5bb5-4b48-a5a5-f47e7a3ff34a,0bdb2d17-073c-4245-abc7-755b338b651b,a3d47b64-05a0-4089-bd88-d4641fb2e663"
"data analysis","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,0ab78c30-c014-4fd1-acf8-93296e506580,5088b3aa-d3fd-44db-a8d6-066f42d0e5b0,0a49e0a6-5043-4b38-90e4-99a47405b5a8,c053b021-182a-419e-8c59-f5522b810106,78fc224b-81ee-417f-a42e-a294f7afb187,dd12767b-415d-41bf-9eb3-52fa5ac1f33e,90bef000-a2fc-42ea-81a3-94a26bf534b3,411dbf49-f8fd-4cf0-b3bc-fcb1e0756b48,75b7ad55-50bf-4675-b432-506834ba1764,fed9ebd1-049a-4b43-b5a4-e9f798475235,d974c19d-9beb-4d32-b8a4-8e6c26d67b98,0a1bb06c-280b-4de6-a9cf-0931d4a5bcf5,f894d0d4-d887-4cd5-9dda-ecae6ac34a74,dd4e70e0-94f4-48a0-8a7f-5d566c756829,69ce7417-b0ef-4b3c-8f68-d096cde35e04,fb324f75-7a0c-40c1-bab9-2b5ac46ac431,e49af08b-5e0b-4091-80f4-0600c86ae7a3,19a5c99f-8515-4c6a-8f7c-5299949de1f8,82bb40fc-dcd8-4e0e-a1b5-624894b3fb06,b374dbd1-d479-4c80-ba1a-990eece0656f,488a3384-dc75-458c-b430-b08b434d6301,743773b2-2292-4cfa-ba53-e045f86edcb7,67cb2e9b-c860-462a-83c6-dfa916805d2a,1d12b5e4-435b-4e58-bb50-28d71a1189cb,796e4be2-75ce-4e0a-abdc-cbc184eca14c,0c0aa41b-bb06-4ae1-8fc5-7722e4512d8e,d6ec14ff-d3f1-4fdf-8416-7506d84943ef,150a6480-e119-4f80-863f-03b98299a87b,1ac6f380-110d-4d5b-8bb5-0e9533c3d68e,212dd804-b558-49ab-a495-6b42b23474a6,e17edb6a-a6d3-498f-8ee6-424ae134d395,2d365c52-d15d-4c9c-bc75-156a960f8bf2,bab0352e-b0bf-4483-bbe8-c8c4d69183df,4756672c-f395-4901-8e85-3707e5d2a546,a2312017-ccbe-4824-8006-8eb40acf7190,d444096f-d371-4c88-b146-3ac3d4041957,069b90c3-9d43-443f-b3f0-9bfa1a959ad9,692a9b35-33e1-4574-b8aa-513a3967e710,3da8b814-9599-49fd-a81e-037c571b0cae,4c5f47d6-681c-413d-81ae-415a2efe4c02,6cea7b3a-00aa-4c37-9747-0f75a89e5e19,26922950-9eb5-4b83-a148-996c262c9346,f3705354-58e5-4297-a96a-6f0c4f8c373f,5bed7f74-5210-4f19-8257-9eaaf1899e28,a12fc50b-24cc-4202-94dd-e011585b4307,c37f5b79-f35e-44eb-a046-a56d1aa2e6da,2315bfa9-e93d-417b-9244-eae0a74d15aa"
"data management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,f488850c-3b43-490f-8466-e982522a2ca1,77fa16f3-a6c3-45ce-8118-960f169582a3,fb324f75-7a0c-40c1-bab9-2b5ac46ac431,0d4cf3ad-963f-4140-88f9-0c4e710762f3,37dca69e-58bd-49a2-9c70-a4f774eb4dca,87729a6b-675b-4479-86b6-b35ed45d2eff,a34c3f20-c7cb-475c-87b1-6460e4995846,4dd21edb-9de5-4c90-a021-465520417dc1,7755eafd-c63e-496d-ae13-edfa2ba853b0,5f01cfe8-f3b4-450d-a5b8-585fa39ceb74,2d365c52-d15d-4c9c-bc75-156a960f8bf2,9982770f-129b-4022-909b-74fa857258a7,b374dbd1-d479-4c80-ba1a-990eece0656f,016866e2-6b03-4b0e-9ff8-cf353cb03edc,375acc9c-3421-47cd-9273-954e36b153e7,dd4e70e0-94f4-48a0-8a7f-5d566c756829"
"computational biology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d5c4a2ae-662c-468a-9702-634e7f3dc750,016866e2-6b03-4b0e-9ff8-cf353cb03edc,5e47a612-4136-4c04-88e8-4367c286b067,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"bioinformatics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,016866e2-6b03-4b0e-9ff8-cf353cb03edc,eeb891bb-83bf-4a26-96d2-6d3afa287fad,d5c4a2ae-662c-468a-9702-634e7f3dc750"
