skill_name,references
"english",6
"teamworking",6
"communication",6
"time management",6
"problem-solving",6
"networking",6
"data analysis",6
"data management",6
"computational biology",4
"bioinformatics",5
"biomedical sciences",6
"molecular biology",6
"human genetics",3
"mathematics",6
"statistics",6
"hands-on experience",6
"real-world datasets",1
"computational pipelines",4
"coding",6
"biological interpretation",2
"drug discovery process",5
"transcriptomics",5
"proteomics",5
"integration of multi-omics datasets",2
"biomarker discovery",2
"mechanistic insights",2
"r",6
"python",6
"data visualisation",6
"biological data interpretation",2
"collaboration",6
"documentation",6
"presentation skills",6
"biological sciences",4
"biochemistry",6
"experimental biology",2
"data science",1
"high-dimensional datasets",2
"biological systems",2
"organoid models",1
"tissue explant models",1
"high-throughput sequencing data analysis",1
"rna-seq",2
"single-cell rna-seq",2
"multi-omics dataset integration",3
"data visualization",6
"collaboration with wet-lab scientists",1
"workflow documentation",1
"chemistry",6
"engineering",6
"biological science",3
"biology",6
"physiology",5
"mechanistic safety studies",1
"modelling",6
"risk assessment",6
"multi-disciplinary expertise",1
"cellular approaches",1
"molecular approaches",1
"computational approaches",1
"mechanisms of toxicity",1
"species differences",1
"translational safety biomarkers",1
"project decision-making",4
"omics-based techniques",2
"toxicity mechanisms",1
"toxicogenomics",2
"internal collaboration",2
"team meetings",1
"project management",6
"non-clinical safety assessment",2
"drug development",5
"life sciences",6
"biological knowledge",4
"analytic skills",5
"coding in r",4
"bioinformatic analysis",3
"rna-sequencing",1
"dashboard development",5
"biological data analysis",1
"interactivity design",1
"analytics",6
"digital fluency",4
"training",6
"english fluency",6
"lean methodologies",6
"6-sigma methodologies",2
"continuous improvement",6
"operations support",5
"safety compliance",5
"pharmaceutical manufacturing",6
"business improvement",6
"site strategy",1
"data analysis and management",5
"smart manufacturing analytics",1
"digital solutions development",5
"computer science",6
"digital and technology",1
"smart manufacturing",3
"digital objectives",1
"upskilling",4
"influencing",6
"adopting new technology",1
"technology identification",2
"manufacturing technology",4
"digital initiatives",1
"powerbi",6
"app development",5
"digital learning skills",2
"process improvement",6
"machine learning algorithms",4
"data analytics",6
"digital data analytics",3
"lean manufacturing",5
"six sigma tools",2
"digital",4
"data and analytics",1
"business analytics",5
"digital culture",1
"data culture",1
"analytics culture",1
"improvement frameworks",2
"gsk production system",4
"production planning",6
"digital solutions",5
"ai",6
"power bi",6
"power apps",5
"machine learning",6
"organisational skills",6
"administrative skills",6
"financial skills",3
"television production management",3
"finance",6
"operational skills",2
"tv production knowledge",1
"finance related tasks",1
"production accounting",3
"administrative tasks",6
"production management",4
"tv development",1
"delivery processes",1
"finance management",5
"office administration",3
"microsoft office",6
"excel",6
"outlook",6
"word",6
"broadcasting",1
"media",5
"tv production",3
"proactive",1
"enthusiastic",3
"autonomous work",6
"deadline management",6
"initiative",6
"calm under pressure",3
"analytical skills",6
